,Category_x,Secondary,Year,NOM,GLOBES WIN_x,Category_y,Additional Info,OSCARS CAT_y,OSCARS WIN_y
311,Best Motion Picture - Drama,,1999,Elizabeth,Nominee,Best Picture,"Alison Owen, Eric Fellner and Tim Bevan, Producers",Best Picture,NO
312,Best Motion Picture - Musical or Comedy,,1999,Shakespeare in Love,Winner,Best Picture,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",Best Picture,YES
313,Best Performance by an Actress in a Motion Picture - Drama,Elizabeth,1999,Cate Blanchett,Winner,Actress -- Leading Role,Elizabeth {'Queen Elizabeth I'},Actress -- Leading Role,NO
314,Best Performance by an Actress in a Motion Picture - Drama,Central Station,1999,Fernanda Montenegro,Nominee,Actress -- Leading Role,Central Station {'Dora'},Actress -- Leading Role,NO
315,Best Performance by an Actress in a Motion Picture - Drama,One True Thing,1999,Meryl Streep,Nominee,Actress -- Leading Role,One True Thing {'Kate Gulden'},Actress -- Leading Role,NO
316,Best Performance by an Actress in a Motion Picture - Drama,Hilary and Jackie,1999,Emily Watson,Nominee,Actress -- Leading Role,Hilary and Jackie {'Jacqueline du Pr_'},Actress -- Leading Role,NO
317,Best Performance by an Actor in a Motion Picture - Drama,Saving Private Ryan,1999,Tom Hanks,Nominee,Actor -- Leading Role,Saving Private Ryan {'Captain Miller'},Actor -- Leading Role,NO
318,Best Performance by an Actor in a Motion Picture - Drama,Gods and Monsters,1999,Ian McKellen,Nominee,Actor -- Leading Role,Gods and Monsters {'James Whale'},Actor -- Leading Role,NO
319,Best Performance by an Actor in a Motion Picture - Drama,Affliction,1999,Nick Nolte,Nominee,Actor -- Leading Role,Affliction {'Wade Whitehouse'},Actor -- Leading Role,NO
320,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shakespeare in Love,1999,Gwyneth Paltrow,Winner,Actress -- Leading Role,Shakespeare in Love {'Viola De Lesseps'},Actress -- Leading Role,YES
321,Best Director - Motion Picture,Saving Private Ryan,1999,Steven Spielberg,Winner,Directing,Steven Spielberg,Directing,YES
322,Best Director - Motion Picture,Shakespeare in Love,1999,John Madden,Nominee,Directing,John Madden,Directing,NO
323,Best Director - Motion Picture,"Truman Show, The",1999,Peter Weir,Nominee,Directing,Peter Weir,Directing,NO
324,Best Motion Picture - Drama,,2000,American Beauty,Winner,Best Picture,"Bruce Cohen and Dan Jinks, Producers",Best Picture,YES
325,Best Motion Picture - Drama,,2000,The Insider,Nominee,Best Picture,"Michael Mann and Pieter Jan Brugge, Producers",Best Picture,NO
326,Best Performance by an Actress in a Motion Picture - Drama,Boys Don't Cry,2000,Hilary Swank,Winner,Actress -- Leading Role,Boys Don't Cry {'Brandon Teena/Teena Brandon'},Actress -- Leading Role,YES
327,Best Performance by an Actress in a Motion Picture - Drama,American Beauty,2000,Annette Bening,Nominee,Actress -- Leading Role,American Beauty {'Carolyn Burnham'},Actress -- Leading Role,NO
328,Best Performance by an Actress in a Motion Picture - Drama,"End of the Affair, The",2000,Julianne Moore,Nominee,Actress -- Leading Role,The End of the Affair {'Sarah Miles'},Actress -- Leading Role,NO
329,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Ideal Husband, An",2000,Julianne Moore,Nominee,Actress -- Leading Role,The End of the Affair {'Sarah Miles'},Actress -- Leading Role,NO
330,Best Performance by an Actress in a Motion Picture - Drama,Music of the Heart,2000,Meryl Streep,Nominee,Actress -- Leading Role,Music of the Heart {'Roberta Guaspari'},Actress -- Leading Role,NO
331,Best Performance by an Actor in a Motion Picture - Drama,"Hurricane, The",2000,Denzel Washington,Winner,Actor -- Leading Role,The Hurricane {'Rubin 'Hurricane' Carter'},Actor -- Leading Role,NO
332,Best Performance by an Actor in a Motion Picture - Drama,"Insider, The",2000,Russell Crowe,Nominee,Actor -- Leading Role,The Insider {'Jeffrey Wigand'},Actor -- Leading Role,NO
333,Best Performance by an Actor in a Motion Picture - Drama,"Straight Story, The",2000,Richard Farnsworth,Nominee,Actor -- Leading Role,The Straight Story {'Alvin Straight'},Actor -- Leading Role,NO
334,Best Performance by an Actor in a Motion Picture - Drama,American Beauty,2000,Kevin Spacey,Nominee,Actor -- Leading Role,American Beauty {'Lester Burnham'},Actor -- Leading Role,YES
335,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Tumbleweeds,2000,Janet McTeer,Winner,Actress -- Leading Role,Tumbleweeds {'Mary Jo Walker'},Actress -- Leading Role,NO
336,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sweet and Lowdown,2000,Sean Penn,Nominee,Actor -- Leading Role,Sweet and Lowdown {'Emmet Ray'},Actor -- Leading Role,NO
337,Best Director - Motion Picture,American Beauty,2000,Sam Mendes,Winner,Directing,Sam Mendes,Directing,YES
338,Best Director - Motion Picture,"Insider, The",2000,Michael Mann,Nominee,Directing,Michael Mann,Directing,NO
339,Best Motion Picture - Drama,,2001,Gladiator,Winner,Best Picture,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Best Picture,YES
340,Best Motion Picture - Drama,,2001,Erin Brockovich,Nominee,Best Picture,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",Best Picture,NO
341,Best Motion Picture - Drama,,2001,Traffic,Nominee,Best Picture,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers",Best Picture,NO
342,Best Motion Picture - Musical or Comedy,,2001,Chocolat,Nominee,Best Picture,"David Brown, Kit Golden and Leslie Holleran, Producers",Best Picture,NO
343,Best Performance by an Actress in a Motion Picture - Drama,Erin Brockovich,2001,Julia Roberts,Winner,Actress -- Leading Role,Erin Brockovich {'Erin Brockovich'},Actress -- Leading Role,YES
344,Best Performance by an Actress in a Motion Picture - Drama,"Contender, The",2001,Joan Allen,Nominee,Actress -- Leading Role,The Contender {'Laine Hanson'},Actress -- Leading Role,NO
345,Best Performance by an Actress in a Motion Picture - Drama,Requiem For a Dream,2001,Ellen Burstyn,Nominee,Actress -- Leading Role,Requiem for a Dream {'Sara Goldfarb'},Actress -- Leading Role,NO
346,Best Performance by an Actress in a Motion Picture - Drama,You Can Count On Me,2001,Laura Linney,Nominee,Actress -- Leading Role,You Can Count on Me {'Samantha 'Sammy' Prescott'},Actress -- Leading Role,NO
347,Best Performance by an Actor in a Motion Picture - Drama,Cast Away,2001,Tom Hanks,Winner,Actor -- Leading Role,Cast Away {'Chuck Noland'},Actor -- Leading Role,NO
348,Best Performance by an Actor in a Motion Picture - Drama,Before Night Falls,2001,Javier Bardem,Nominee,Actor -- Leading Role,Before Night Falls {'Reinaldo Arenas'},Actor -- Leading Role,NO
349,Best Performance by an Actor in a Motion Picture - Drama,Gladiator,2001,Russell Crowe,Nominee,Actor -- Leading Role,Gladiator {'Maximus Decimus Meridius'},Actor -- Leading Role,YES
350,Best Performance by an Actor in a Motion Picture - Drama,Quills,2001,Geoffrey Rush,Nominee,Actor -- Leading Role,Quills {'The Marquis de Sade'},Actor -- Leading Role,NO
351,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Chocolat,2001,Juliette Binoche,Nominee,Actress -- Leading Role,Chocolat {'Vianne Rocher'},Actress -- Leading Role,NO
352,Best Director - Motion Picture,"Crouching Tiger, Hidden Dragon",2001,Ang Lee,Winner,Directing,Ang Lee,Directing,NO
353,Best Director - Motion Picture,Gladiator,2001,Ridley Scott,Nominee,Directing,Ridley Scott,Directing,NO
354,Best Director - Motion Picture,Erin Brockovich,2001,Steven Soderbergh,Nominee,Directing,Steven Soderbergh,Directing,NO
355,Best Director - Motion Picture,Erin Brockovich,2001,Steven Soderbergh,Nominee,Directing,Steven Soderbergh,Directing,YES
356,Best Director - Motion Picture,Traffic,2001,Steven Soderbergh,Nominee,Directing,Steven Soderbergh,Directing,NO
357,Best Director - Motion Picture,Traffic,2001,Steven Soderbergh,Nominee,Directing,Steven Soderbergh,Directing,YES
358,Best Motion Picture - Foreign Language,Taiwan,2001,"Crouching Tiger, Hidden Dragon",Winner,Best Picture,"Bill Kong, Hsu Li Kong and Ang Lee, Producers",Best Picture,NO
359,Best Motion Picture - Drama,,2002,A Beautiful Mind,Winner,Best Picture,"Brian Grazer and Ron Howard, Producers",Best Picture,YES
360,Best Motion Picture - Drama,,2002,The Lord of the Rings: The Fellowship of the Ring,Nominee,Best Picture,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",Best Picture,NO
361,Best Motion Picture - Musical or Comedy,,2002,Gosford Park,Nominee,Best Picture,"Robert Altman, Bob Balaban and David Levy, Producers",Best Picture,NO
362,Best Performance by an Actress in a Motion Picture - Drama,In The Bedroom,2002,Sissy Spacek,Winner,Actress -- Leading Role,In the Bedroom {'Ruth Fowler'},Actress -- Leading Role,NO
363,Best Performance by an Actress in a Motion Picture - Drama,Monster's Ball,2002,Halle Berry,Nominee,Actress -- Leading Role,Monster's Ball {'Leticia Musgrove'},Actress -- Leading Role,YES
364,Best Performance by an Actress in a Motion Picture - Drama,Iris,2002,Judi Dench,Nominee,Actress -- Leading Role,Iris {'Iris Murdoch'},Actress -- Leading Role,NO
365,Best Performance by an Actress in a Motion Picture - Drama,"Others, The",2002,Nicole Kidman,Nominee,Actress -- Leading Role,Moulin Rouge {'Satine'},Actress -- Leading Role,NO
366,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Moulin Rouge!,2002,Nicole Kidman,Winner,Actress -- Leading Role,Moulin Rouge {'Satine'},Actress -- Leading Role,NO
367,Best Performance by an Actor in a Motion Picture - Drama,"Beautiful Mind, A",2002,Russell Crowe,Winner,Actor -- Leading Role,A Beautiful Mind {'John Nash'},Actor -- Leading Role,NO
368,Best Performance by an Actor in a Motion Picture - Drama,Ali,2002,Will Smith,Nominee,Actor -- Leading Role,Ali {'Muhammad Ali'},Actor -- Leading Role,NO
369,Best Performance by an Actor in a Motion Picture - Drama,Training Day,2002,Denzel Washington,Nominee,Actor -- Leading Role,Training Day {'Alonzo'},Actor -- Leading Role,YES
370,Best Director - Motion Picture,Gosford Park,2002,Robert Altman,Winner,Directing,Robert Altman,Directing,NO
371,Best Director - Motion Picture,"Beautiful Mind, A",2002,Ron Howard,Nominee,Directing,Ron Howard,Directing,YES
372,Best Director - Motion Picture,"Lord of the Rings: The Fellowship of the Ring, The",2002,Peter Jackson,Nominee,Directing,Peter Jackson,Directing,NO
373,Best Director - Motion Picture,Mulholland Dr.,2002,David Lynch,Nominee,Directing,David Lynch,Directing,NO
374,Best Motion Picture - Drama,,2003,The Hours,Winner,Best Picture,"Scott Rudin and Robert Fox, Producers",Best Picture,NO
375,Best Motion Picture - Drama,,2003,Gangs of New York,Nominee,Best Picture,"Alberto Grimaldi and Harvey Weinstein, Producers",Best Picture,NO
376,Best Motion Picture - Drama,,2003,The Lord of the Rings: The Two Towers,Nominee,Best Picture,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",Best Picture,NO
377,Best Motion Picture - Drama,,2003,The Pianist,Nominee,Best Picture,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",Best Picture,NO
378,Best Motion Picture - Musical or Comedy,,2003,Chicago,Winner,Best Picture,"Martin Richards, Producer",Best Picture,YES
379,Best Performance by an Actress in a Motion Picture - Drama,"Hours, The",2003,Nicole Kidman,Winner,Actress -- Leading Role,The Hours {'Virginia Woolf'},Actress -- Leading Role,YES
380,Best Performance by an Actress in a Motion Picture - Drama,Frida,2003,Salma Hayek,Nominee,Actress -- Leading Role,Frida {'Frida Kahlo'},Actress -- Leading Role,NO
381,Best Performance by an Actress in a Motion Picture - Drama,Unfaithful,2003,Diane Lane,Nominee,Actress -- Leading Role,Unfaithful {'Connie Sumner'},Actress -- Leading Role,NO
382,Best Performance by an Actress in a Motion Picture - Drama,Far From Heaven,2003,Julianne Moore,Nominee,Actress -- Leading Role,Far from Heaven {'Cathy Whitaker'},Actress -- Leading Role,NO
383,Best Performance by an Actor in a Motion Picture - Drama,About Schmidt,2003,Jack Nicholson,Winner,Actor -- Leading Role,About Schmidt {'Warren Schmidt'},Actor -- Leading Role,NO
384,Best Performance by an Actor in a Motion Picture - Drama,"Pianist, The",2003,Adrien Brody,Nominee,Actor -- Leading Role,The Pianist {'Wladyslaw Szpilman'},Actor -- Leading Role,YES
385,Best Performance by an Actor in a Motion Picture - Drama,"Quiet American, The",2003,Michael Caine,Nominee,Actor -- Leading Role,The Quiet American {'Thomas Fowler'},Actor -- Leading Role,NO
386,Best Performance by an Actor in a Motion Picture - Drama,Gangs of New York,2003,Daniel Day-Lewis,Nominee,Actor -- Leading Role,Gangs of New York {'Bill 'The Butcher' Cutting'},Actor -- Leading Role,NO
387,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Adaptation,2003,Nicolas Cage,Nominee,Actor -- Leading Role,Adaptation {'Charlie Kaufman & Donald Kaufman'},Actor -- Leading Role,NO
388,Best Director - Motion Picture,Gangs of New York,2003,Martin Scorsese,Winner,Directing,Martin Scorsese,Directing,NO
389,Best Director - Motion Picture,"Hours, The",2003,Stephen Daldry,Nominee,Directing,Stephen Daldry,Directing,NO
390,Best Director - Motion Picture,Chicago,2003,Rob Marshall,Nominee,Directing,Rob Marshall,Directing,NO
391,Best Motion Picture - Drama,,2004,The Lord of the Rings: The Return of the King,Winner,Best Picture,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",Best Picture,YES
392,Best Motion Picture - Drama,,2004,Master and Commander: The Far Side of the World,Nominee,Best Picture,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",Best Picture,NO
393,Best Motion Picture - Drama,,2004,Mystic River,Nominee,Best Picture,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers",Best Picture,NO
394,Best Motion Picture - Drama,,2004,Seabiscuit,Nominee,Best Picture,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",Best Picture,NO
395,Best Motion Picture - Musical or Comedy,,2004,Lost in Translation,Winner,Best Picture,"Ross Katz and Sofia Coppola, Producers",Best Picture,NO
396,Best Performance by an Actress in a Motion Picture - Drama,Monster,2004,Charlize Theron,Winner,Actress -- Leading Role,Monster {'Aileen Wuornos'},Actress -- Leading Role,YES
397,Best Performance by an Actor in a Motion Picture - Drama,Mystic River,2004,Sean Penn,Winner,Actor -- Leading Role,Mystic River {'Jimmy Markum'},Actor -- Leading Role,YES
398,Best Performance by an Actor in a Motion Picture - Drama,House of Sand and Fog,2004,Ben Kingsley,Nominee,Actor -- Leading Role,House of Sand and Fog {'Behrani'},Actor -- Leading Role,NO
399,Best Performance by an Actor in a Motion Picture - Drama,Cold Mountain,2004,Jude Law,Nominee,Actor -- Leading Role,Cold Mountain {'Inman'},Actor -- Leading Role,NO
400,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Something's Gotta Give,2004,Diane Keaton,Winner,Actress -- Leading Role,Something's Gotta Give {'Erica Barry'},Actress -- Leading Role,NO
401,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lost in Translation,2004,Bill Murray,Winner,Actor -- Leading Role,Lost in Translation {'Bob Harris'},Actor -- Leading Role,NO
402,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Pirates of the Caribbean: The Curse of the Black Pearl,2004,Johnny Depp,Nominee,Actor -- Leading Role,Pirates of the Caribbean: The Curse of the Black Pearl {'Jack Sparrow'},Actor -- Leading Role,NO
403,Best Director - Motion Picture,"Lord of the Rings: The Return of the King, The",2004,Peter Jackson,Winner,Directing,Peter Jackson,Directing,YES
404,Best Director - Motion Picture,Lost in Translation,2004,Sofia Coppola,Nominee,Directing,Sofia Coppola,Directing,NO
405,Best Director - Motion Picture,Mystic River,2004,Clint Eastwood,Nominee,Directing,Clint Eastwood,Directing,NO
406,Best Director - Motion Picture,Master and Commander: The Far Side of the World,2004,Peter Weir,Nominee,Directing,Peter Weir,Directing,NO
407,Best Motion Picture - Drama,,2005,The Aviator,Winner,Best Picture,"Michael Mann and Graham King, Producers",Best Picture,NO
408,Best Motion Picture - Drama,,2005,Finding Neverland,Nominee,Best Picture,"Richard N. Gladstein and Nellie Bellflower, Producers",Best Picture,NO
409,Best Motion Picture - Drama,,2005,Million Dollar Baby,Nominee,Best Picture,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",Best Picture,YES
410,Best Motion Picture - Musical or Comedy,,2005,Sideways,Winner,Best Picture,"Michael London, Producer",Best Picture,NO
411,Best Motion Picture - Musical or Comedy,,2005,Ray,Nominee,Best Picture,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers",Best Picture,NO
412,Best Performance by an Actress in a Motion Picture - Drama,Million Dollar Baby,2005,Hilary Swank,Winner,Actress -- Leading Role,Million Dollar Baby {'Maggie Fitzgerald'},Actress -- Leading Role,YES
413,Best Performance by an Actress in a Motion Picture - Drama,Vera Drake,2005,Imelda Staunton,Nominee,Actress -- Leading Role,Vera Drake {'Vera'},Actress -- Leading Role,NO
414,Best Performance by an Actor in a Motion Picture - Drama,"Aviator, The",2005,Leonardo DiCaprio,Winner,Actor -- Leading Role,The Aviator {'Howard Hughes'},Actor -- Leading Role,NO
415,Best Performance by an Actor in a Motion Picture - Drama,Hotel Rwanda,2005,Don Cheadle,Nominee,Actor -- Leading Role,Hotel Rwanda {'Paul Rusesabagina'},Actor -- Leading Role,NO
416,Best Performance by an Actor in a Motion Picture - Drama,Finding Neverland,2005,Johnny Depp,Nominee,Actor -- Leading Role,Finding Neverland {'Sir James Matthew Barrie'},Actor -- Leading Role,NO
417,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Being Julia,2005,Annette Bening,Winner,Actress -- Leading Role,Being Julia {'Julia Lambert'},Actress -- Leading Role,NO
418,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Eternal Sunshine of The Spotless Mind,2005,Kate Winslet,Nominee,Actress -- Leading Role,Eternal Sunshine of the Spotless Mind {'Clementine Kruczynski'},Actress -- Leading Role,NO
419,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ray,2005,Jamie Foxx,Winner,Actor -- Leading Role,Ray {'Ray Charles'},Actor -- Leading Role,YES
420,Best Director - Motion Picture,Million Dollar Baby,2005,Clint Eastwood,Winner,Actor -- Leading Role,Million Dollar Baby {'Frankie Dunn'},Actor -- Leading Role,NO
421,Best Director - Motion Picture,Million Dollar Baby,2005,Clint Eastwood,Winner,Directing,Clint Eastwood,Directing,YES
422,Best Director - Motion Picture,"Aviator, The",2005,Martin Scorsese,Nominee,Directing,Martin Scorsese,Directing,NO
423,Best Director - Motion Picture,Sideways,2005,Alexander Payne,Nominee,Directing,Alexander Payne,Directing,NO
424,Best Motion Picture - Drama,,2006,Brokeback Mountain,Winner,Best Picture,"Diana Ossana and James Schamus, Producers",Best Picture,NO
425,Best Performance by an Actress in a Motion Picture - Drama,Transamerica,2006,Felicity Huffman,Winner,Actress -- Leading Role,Transamerica {'Bree'},Actress -- Leading Role,NO
426,Best Performance by an Actress in a Motion Picture - Drama,North Country,2006,Charlize Theron,Nominee,Actress -- Leading Role,North Country {'Josey Aimes'},Actress -- Leading Role,NO
427,Best Performance by an Actor in a Motion Picture - Drama,Capote,2006,Philip Seymour Hoffman,Winner,Actor -- Leading Role,Capote {'Truman Capote'},Actor -- Leading Role,YES
428,Best Performance by an Actor in a Motion Picture - Drama,Hustle & Flow,2006,Terrence Howard,Nominee,Actor -- Leading Role,Hustle & Flow {'DJay'},Actor -- Leading Role,NO
429,Best Performance by an Actor in a Motion Picture - Drama,Brokeback Mountain,2006,Heath Ledger,Nominee,Actor -- Leading Role,Brokeback Mountain {'Ennis Del Mar'},Actor -- Leading Role,NO
430,Best Performance by an Actor in a Motion Picture - Drama,"Good Night, and Good Luck",2006,David Strathairn,Nominee,Actor -- Leading Role,"Good Night, and Good Luck. {'Edward R. Murrow'}",Actor -- Leading Role,NO
431,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Walk The Line,2006,Reese Witherspoon,Winner,Actress -- Leading Role,Walk the Line {'June Carter'},Actress -- Leading Role,YES
432,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Mrs. Henderson Presents,2006,Judi Dench,Nominee,Actress -- Leading Role,Mrs. Henderson Presents {'Mrs. Laura Henderson'},Actress -- Leading Role,NO
433,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pride & Prejudice,2006,Keira Knightley,Nominee,Actress -- Leading Role,Pride & Prejudice {'Elizabeth Bennet'},Actress -- Leading Role,NO
434,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walk The Line,2006,Joaquin Phoenix,Winner,Actor -- Leading Role,Walk the Line {'John R. Cash'},Actor -- Leading Role,NO
435,Best Director - Motion Picture,Brokeback Mountain,2006,Ang Lee,Winner,Directing,Ang Lee,Directing,YES
436,Best Director - Motion Picture,"Good Night, and Good Luck",2006,George Clooney,Nominee,Directing,George Clooney,Directing,NO
437,Best Director - Motion Picture,Munich,2006,Steven Spielberg,Nominee,Directing,Steven Spielberg,Directing,NO
438,Best Motion Picture - Drama,,2007,Babel,Winner,Best Picture,"Alejandro Gonzlez Irritu, Jon Kilik and Steve Golin, Producers",Best Picture,NO
439,Best Motion Picture - Drama,,2007,The Departed,Nominee,Best Picture,"Graham King, Producer",Best Picture,YES
440,Best Motion Picture - Drama,,2007,The Queen,Nominee,Best Picture,"Andy Harries, Christine Langan and Tracey Seaward, Producers",Best Picture,NO
441,Best Motion Picture - Musical or Comedy,,2007,Little Miss Sunshine,Nominee,Best Picture,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",Best Picture,NO
442,Best Performance by an Actress in a Motion Picture - Drama,"Queen, The",2007,Helen Mirren,Winner,Actress -- Leading Role,The Queen {'The Queen'},Actress -- Leading Role,YES
443,Best Performance by an Actress in a Motion Picture - Drama,Notes On a Scandal,2007,Judi Dench,Nominee,Actress -- Leading Role,Notes on a Scandal {'Barbara Covett'},Actress -- Leading Role,NO
444,Best Performance by an Actress in a Motion Picture - Drama,Little Children,2007,Kate Winslet,Nominee,Actress -- Leading Role,Little Children {'Sarah Pierce'},Actress -- Leading Role,NO
445,Best Performance by an Actor in a Motion Picture - Drama,"Last King of Scotland, The",2007,Forest Whitaker,Winner,Actor -- Leading Role,The Last King of Scotland {'Idi Amin'},Actor -- Leading Role,YES
446,Best Performance by an Actor in a Motion Picture - Drama,Blood Diamond,2007,Leonardo DiCaprio,Nominee,Actor -- Leading Role,Blood Diamond {'Danny Archer'},Actor -- Leading Role,NO
447,Best Performance by an Actor in a Motion Picture - Drama,"Departed, The",2007,Leonardo DiCaprio,Nominee,Actor -- Leading Role,Blood Diamond {'Danny Archer'},Actor -- Leading Role,NO
448,Best Performance by an Actor in a Motion Picture - Drama,Venus,2007,Peter O'Toole,Nominee,Actor -- Leading Role,Venus {'Maurice'},Actor -- Leading Role,NO
449,Best Performance by an Actor in a Motion Picture - Drama,"Pursuit of Happyness, The",2007,Will Smith,Nominee,Actor -- Leading Role,The Pursuit of Happyness {'Chris Gardner'},Actor -- Leading Role,NO
450,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Devil Wears Prada, The",2007,Meryl Streep,Winner,Actress -- Leading Role,The Devil Wears Prada {'Miranda Priestly'},Actress -- Leading Role,NO
451,Best Director - Motion Picture,"Departed, The",2007,Martin Scorsese,Winner,Directing,Martin Scorsese,Directing,YES
452,Best Director - Motion Picture,Flags of Our Fathers,2007,Clint Eastwood,Nominee,Directing,Clint Eastwood,Directing,NO
453,Best Director - Motion Picture,Letters From Iwo Jima,2007,Clint Eastwood,Nominee,Directing,Clint Eastwood,Directing,NO
454,Best Director - Motion Picture,"Queen, The",2007,Stephen Frears,Nominee,Directing,Stephen Frears,Directing,NO
455,Best Motion Picture - Drama,,2008,Atonement,Winner,Best Picture,"Tim Bevan, Eric Fellner and Paul Webster, Producers",Best Picture,NO
456,Best Motion Picture - Drama,,2008,Michael Clayton,Nominee,Best Picture,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",Best Picture,NO
457,Best Motion Picture - Drama,,2008,No Country for Old Men,Nominee,Best Picture,"Scott Rudin, Ethan Coen and Joel Coen, Producers",Best Picture,YES
458,Best Motion Picture - Drama,,2008,There Will Be Blood,Nominee,Best Picture,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",Best Picture,NO
459,Best Motion Picture - Musical or Comedy,,2008,Juno,Nominee,Best Picture,"Lianne Halfon, Mason Novick and Russell Smith, Producers",Best Picture,NO
460,Best Performance by an Actress in a Motion Picture - Drama,Away From Her,2008,Julie Christie,Winner,Actress -- Leading Role,Away from Her {'Fiona'},Actress -- Leading Role,NO
